127.0.0.1 - - [21/Jan/2023:21:33:02 +0900] "GET / HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/login.html HTTP/1.1" 200 10496
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/assets/owl.carousel.min.css HTTP/1.1" 200 2936
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/css/style.css HTTP/1.1" 200 183100
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/lib/easing/easing.min.js HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/mail/jqBootstrapValidation.min.js HTTP/1.1" 200 14877
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/mail/contact.js HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/js/main.js HTTP/1.1" 200 2525
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/img/main.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 200 42766
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/img/foot_logo.png HTTP/1.1" 200 9115
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/img/payments.png HTTP/1.1" 200 3386
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:04 +0900] "GET /springweb/z01_oliveyoung/img/qr.png HTTP/1.1" 200 48447
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:33:05 +0900] "GET /favicon.ico HTTP/1.1" 404 603
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/oliveyoung.html HTTP/1.1" 200 43740
0:0:0:0:0:0:0:1 - - [21/Jan/2023:21:34:54 +0900] "GET /springweb/z01_oliveyoung/img/main3.jpg HTTP/1.1" 200 57526
